Name,Tenure_Type,Median_Price_Psf,Median_Price,Filed_Transactions
"ELMINA WESTSHAH ALAM, SELANGOR","FREEHOLDSEMI-D, TERRACE HOUSE",692,"1,184,888",170 Transactions
"ALAM IMPIANSHAH ALAM, SELANGOR","FREEHOLDCLUSTER HOUSE, SEMI-D, TERRACE HOUSE",633,"920,400",90 Transactions
"BUKIT JELUTONGSHAH ALAM, SELANGOR","FREEHOLDBUNGALOW, CLUSTER HOUSE, SEMI-D, TERRACE HOUSE",458,"1,085,000",71 Transactions
"SEKSYEN 30 SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDBUNGALOW, SEMI-D, TERRACE HOUSE",339,"570,000",71 Transactions
"KOTA KEMUNINGSHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDSEMI-D, TERRACE HOUSE",476,"900,000",56 Transactions
"SEKSYEN 29 SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDSEMI-D, TERRACE HOUSE",431,"623,500",48 Transactions
"SEKSYEN 7 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDBUNGALOW, CLUSTER HOUSE, SEMI-D, TERRACE HOUSE, TOWN HOUSE",501,"700,000",35 Transactions
"ELMINA EASTSHAH ALAM, SELANGOR","FREEHOLDSEMI-D, TERRACE HOUSE",537,"870,000",33 Transactions
"TAMAN SRI MUDASHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDTERRACE HOUSE",324,"330,000",29 Transactions
"SEKSYEN 32, SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLDSEMI-D, TERRACE HOUSE",354,"480,500",28 Transactions
"SEKSYEN 13 SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDBUNGALOW, SEMI-D, TERRACE HOUSE",488,"1,350,000",24 Transactions
"KEMUNING UTAMA, SEKSYEN 32SHAH ALAM, SELANGOR","FREEHOLDCLUSTER HOUSE, SEMI-D, TERRACE HOUSE",478,"845,000",23 Transactions
"SEKSYEN 24 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDFLAT,296,"200,000",22 Transactions
"SEKSYEN 27 SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLDBUNGALOW, SEMI-D, TERRACE HOUSE",398,"586,500",22 Transactions
"PANGSAPURI KEMUNING AMANSHAH ALAM, SELANGOR","FREEHOLDAPARTMENT, FLAT",458,"335,000",21 Transactions
"RENAI JELUTONG @ BUKIT JELUTONGSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,590,"740,000",21 Transactions
"SEKSYEN 18 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDCLUSTER HOUSE, TERRACE HOUSE",356,"400,000",21 Transactions
"SEKSYEN 17 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDCLUSTER HOUSE, SEMI-D, TERRACE HOUSE",321,"450,000",18 Transactions
"SRI ACAPPELLASHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,426,"600,000",17 Transactions
"SEKSYEN 19 SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDCLUSTER HOUSE, TERRACE HOUSE",417,"515,000",16 Transactions
"TAMAN SRI MUDA, SEKSYEN 25, SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLDSEMI-D, TERRACE HOUSE",285,"402,500",16 Transactions
"TTDI JAYASHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,892,"537,500",16 Transactions
"FLAT PKNS SECTION 7SHAH ALAM, SELANGOR",LEASEHOLDFLAT,350,"260,000",15 Transactions
"FLAT PKNS SEKSYEN 8SHAH ALAM, SELANGOR",LEASEHOLDFLAT,338,"210,000",15 Transactions
"SRI KEMUNINGSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,332,"250,000",15 Transactions
"TAMAN ALAM MEGAHSHAH ALAM, SELANGOR",FREEHOLDFLAT,240,"145,000",14 Transactions
"MENARA USHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,885,"422,000",13 Transactions
"SEKSYEN 24 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDSEMI-D, TERRACE HOUSE",369,"430,000",13 Transactions
"SUBANG BESTARISHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,435,"630,000",13 Transactions
"TAMAN BUNGA NEGARASHAH ALAM, SELANGOR",FREEHOLDFLAT,330,"240,000",13 Transactions
"BERJAYA PARK, SEKSYEN 32, SHAH ALAMSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,312,"500,000",12 Transactions
"PANGSAPURI JAYASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,341,"290,000",12 Transactions
"SEKSYEN 20 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,331,"497,500",12 Transactions
"SEKSYEN 28 SHAH ALAMSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"2,536","480,000",12 Transactions
"ALAM BUDIMANSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,447,"635,000",11 Transactions
"FLAT PROTON-SEKSYEN 27 S.ALAM BUNGA NEGARASHAH ALAM, SELANGOR",FREEHOLDFLAT,282,"170,000",11 Transactions
"SEKSYEN 8 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDBUNGALOW, SEMI-D, TERRACE HOUSE",333,"700,000",11 Transactions
"ILHAMSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,372,"292,500",10 Transactions
"SRI ALAM CONDOMINIUMSHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,311,"405,000",10 Transactions
"KEMUNING UTAMA, SEKSYEN 33SHAH ALAM, SELANGOR","FREEHOLDCLUSTER HOUSE, SEMI-D, TERRACE HOUSE",486,"840,000",9 Transactions
"PURI AIYUSHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,374,"370,000",9 Transactions
"RADIA RESIDENCES @ BUKIT JELUTONGSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,602,"745,000",9 Transactions
"SEKSYEN 18 SHAH ALAM-JALAN 18/3-18/47SHAH ALAM, SELANGOR",LEASEHOLDFLAT,310,"220,000",9 Transactions
"SEKSYEN 20 S.ALAM JALAN 20/16-20/17SHAH ALAM, SELANGOR",LEASEHOLDFLAT,288,"158,000",9 Transactions
"KEMUNING GREENVILLESHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,420,"515,000",8 Transactions
"ORKIDSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,300,"250,000",8 Transactions
"SEKSYEN 10 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,308,"500,000",8 Transactions
"SEKSYEN 11 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDBUNGALOW, TERRACE HOUSE",280,"725,000",8 Transactions
"SEKSYEN 19 S ALAM-JALAN CANKUL19/3-19/15SHAH ALAM, SELANGOR",LEASEHOLDFLAT,300,"155,000",8 Transactions
"SHAH ALAM UTAMASHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,"1,519","735,000",8 Transactions
"ALORA MEDITERRANEAN APARTMENT, SRI MUDASHAH ALAM, SELANGOR","FREEHOLDAPARTMENT, FLAT",227,"198,000",7 Transactions
"AVENUE CRESTSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,580,"300,000",7 Transactions
"BUKIT BANDARAYA SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDSEMI-D, TERRACE HOUSE",278,"725,000",7 Transactions
"BUKIT RIMAUSHAH ALAM, SELANGOR","FREEHOLDTERRACE HOUSE, TOWN HOUSE",364,"375,000",7 Transactions
"INDAH ALAM (SUBANG ANDAMAN)SHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,355,"470,000",7 Transactions
"PANGSAPURI RANDASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,354,"280,000",7 Transactions
"PUSAT KOMERSIAL SEKSYEN 7, SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDFLAT,376,"300,000",7 Transactions
"SEKSYEN 2 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDBUNGALOW, SEMI-D, TERRACE HOUSE",225,"700,000",7 Transactions
"BRUNSFIELD RIVERVIEWSHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,331,"503,575",6 Transactions
"I-SOHO @ I-CITYSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,736,"440,950",6 Transactions
"I-SUITE @ I-CITYSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,543,"337,500",6 Transactions
"PKNS SEKSYEN 24SHAH ALAM, SELANGOR",LEASEHOLDFLAT,317,"230,000",6 Transactions
"SRI PERMATASHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,319,"320,000",6 Transactions
"VALENCIA APARTMENTSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,211,"172,500",6 Transactions
"ALAM PRIMASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,376,"320,000",5 Transactions
"ARTE@SUBANG WESTSHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,706,"370,000",5 Transactions
"CAHAYA ALAMSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,583,"1,026,900",5 Transactions
"DENAI IMPIAN/LAGOON SUITE CONDOSHAH ALAM, SELANGOR",FREEHOLDTOWN HOUSE,329,"630,000",5 Transactions
"DENAI IMPIAN/LAGOON SUITE CONDOSHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,429,"380,000",5 Transactions
"DIAN RESIDENCESSHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,576,"464,100",5 Transactions
"PANGSAPURI DAMAI, TAMAN SRI MUDASHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDAPARTMENT",341,"350,000",5 Transactions
"RUMAH PANGSA NILAM SARISHAH ALAM, SELANGOR",LEASEHOLDFLAT,274,"180,000",5 Transactions
"SEKSYEN 4 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDBUNGALOW, TERRACE HOUSE",313,"516,000",5 Transactions
"SERI HIJAUANSHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,399,"430,000",5 Transactions
"TAMAN ALAM INDAH, SHAH ALAMSHAH ALAM, SELANGOR","FREEHOLD, LEASEHOLDTERRACE HOUSE",397,"400,000",5 Transactions
"VISTA ALAM (SOHO)SHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,560,"400,000",5 Transactions
"DANAUMASSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,379,"310,000",4 Transactions
"DESA LATANIASHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,404,"565,000",4 Transactions
"ELAEIS 2SHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,363,"369,000",4 Transactions
"KEMUNING GREENHILLSSHAH ALAM, SELANGOR","FREEHOLDSEMI-D, TERRACE HOUSE",393,"570,000",4 Transactions
"NADAYU 801-U5 BANDAR PINGGIRANN SUBANGSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,373,"337,500",4 Transactions
"PANGSAPURI PERDANA-SEKSYEN 13 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,272,"231,500",4 Transactions
"PANGSAPURI SRI NERVILLIA, KOTA KEMUNINGSHAH ALAM, SELANGOR","FREEHOLDAPARTMENT, FLAT",282,"185,000",4 Transactions
"SEKSYEN 16 SHAH ALAM-JALAN DAWAI 16/2SHAH ALAM, SELANGOR",LEASEHOLDFLAT,326,"135,000",4 Transactions
"SEKSYEN 7 S.ALAM JALAN 7/96-7/100A(NILAM SARI)SHAH ALAM, SELANGOR",LEASEHOLDFLAT,296,"197,500",4 Transactions
"SEKSYEN 9 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDSEMI-D, TERRACE HOUSE","1,097","605,000",4 Transactions
"SERI IXORASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,413,"320,000",4 Transactions
"SEROJASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,351,"295,000",4 Transactions
"SRI ANGKASASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,311,"215,000",4 Transactions
"SRI MAHLIGAISHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,346,"407,500",4 Transactions
"SUBANG HEIGHTSSHAH ALAM, SELANGOR",FREEHOLDBUNGALOW,754,"3,415,000",4 Transactions
"SURI PUTERISHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,352,"398,000",4 Transactions
"ANDORRA APARTMENT, SRI MUDASHAH ALAM, SELANGOR","FREEHOLDAPARTMENT, FLAT",183,"145,000",3 Transactions
"ANGGERIK 16SHAH ALAM, SELANGOR",LEASEHOLDFLAT,293,"209,000",3 Transactions
"D'KAYANGAN- SEKSYEN 13 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDSEMI-D, TERRACE HOUSE",408,"950,000",3 Transactions
"DELIMASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,369,"310,000",3 Transactions
"KOMUTER RAYASHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,403,"330,000",3 Transactions
"KRISTAL CONDOMINIUMSHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,413,"400,000",3 Transactions
"KRISTAL VIEWSHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,425,"480,000",3 Transactions
"LAKES CONDOMINIUMSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,372,"490,000",3 Transactions
"MUTIARA SUBANGSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,515,"650,000",3 Transactions
"PANGSAPURI AKASIA, SEKSYEN 32SHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,367,"300,000",3 Transactions
"RESIDENCY PAISLEYSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,796,"515,000",3 Transactions
"SEKSYEN 17 SHAH ALAM-JALAN 7/1-2 & 17/24-26SHAH ALAM, SELANGOR",LEASEHOLDFLAT,239,"180,000",3 Transactions
"SEKSYEN 23 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,500,"570,000",3 Transactions
"SURIA JELUTONGSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,680,"300,000",3 Transactions
"TAMAN ALAM INDAH, SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDFLAT,272,"155,000",3 Transactions
"TAMAN ALAM KEMUNINGSHAH ALAM, SELANGOR",LEASEHOLDBUNGALOW,474,"2,450,000",3 Transactions
"TAMAN SRI ORKIDSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"3,346","435,000",3 Transactions
"TUN TEJA 1SHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,302,"205,000",3 Transactions
"VISTA ALAM (SERVICE APARTMENT)SHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,571,"469,800",3 Transactions
"ALAM IDAMANSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,348,"317,500",2 Transactions
"ALAM SANJUNGSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,424,"403,500",2 Transactions
"AMVERTON GREENS, BUKIT RIMAUSHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,582,"615,000",2 Transactions
"AMVERTON PARKSHAH ALAM, SELANGOR",FREEHOLDBUNGALOW,430,"2,325,000",2 Transactions
"ANGGERIKSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,254,"170,000",2 Transactions
"BUKIT RIMAUSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,347,"332,500",2 Transactions
"DESA KEMUNING SURIASHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,354,"530,000",2 Transactions
"ELAEIS 1SHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,419,"379,000",2 Transactions
"I-RESIDENCE (I-CITY)SHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,520,"512,500",2 Transactions
"I-SOVO @ I-CITYSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,689,"390,224",2 Transactions
"INDAHSHAH ALAM, SELANGOR",LEASEHOLDFLAT,302,"200,000",2 Transactions
"KAMPUNG MELAYU SUBANG TAMBAHANSHAH ALAM, SELANGOR",LEASEHOLDBUNGALOW,54,"253,568",2 Transactions
"MERANTI TERRACESHAH ALAM, SELANGOR",FREEHOLDTOWN HOUSE,326,"495,000",2 Transactions
"MUTIARA ANGGERIK - SEKSYEN 15 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,286,"415,000",2 Transactions
"MUTIARA RESIDENCE-SERVICE APARTMENT -SERDANGSHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,238,"200,000",2 Transactions
"OPAL RESIDENSI-SEKSYEN 7 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,525,"977,500",2 Transactions
"PANGSAPURI ARANDA, KOTA KEMUNINGSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,383,"327,500",2 Transactions
"PANGSAPURI KRISTAL HEIGHTSHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,429,"429,000",2 Transactions
"PRIMA U1SHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,401,"392,500",2 Transactions
"RESIDENSI ALAMISHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,351,"400,000",2 Transactions
"SEKSYEN 3 SHAH ALAMSHAH ALAM, SELANGOR","LEASEHOLDBUNGALOW, SEMI-D","1,172","1,025,000",2 Transactions
"SEKSYEN 6 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,320,"562,500",2 Transactions
"SEKSYEN 6 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDFLAT,299,"225,000",2 Transactions
"SEKSYEN 7 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDFLAT,383,"305,000",2 Transactions
"SERI PEGAGASHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,370,"295,000",2 Transactions
"SRI MAHLIGAISHAH ALAM, SELANGOR",LEASEHOLDTOWN HOUSE,"2,321","422,500",2 Transactions
"STUDIO 14 (SOHO)SHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,568,"255,500",2 Transactions
"TAMAN BATU TIGASHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,"2,589","325,000",2 Transactions
"TAMAN BUKIT KEMUNINGSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,338,"310,000",2 Transactions
"TAMAN BUKIT SAGASHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"2,008","525,000",2 Transactions
"TAMAN ENG ANNSHAH ALAM, SELANGOR","FREEHOLDSEMI-D, TERRACE HOUSE",190,"659,000",2 Transactions
"TAMAN MESRA BATU 3SHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"3,114","410,000",2 Transactions
"TAMAN SRI MUDASHAH ALAM, SELANGOR",FREEHOLDFLAT,217,"122,500",2 Transactions
"V-RESIDENSI 2SHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,424,"486,000",2 Transactions
"ALUNAN BAYUSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,364,"290,000",1 Transaction
"AMVERTON PARK @ BUKIT KEMUNING GOLD & COUNTRY RESORTSHAH ALAM, SELANGOR",FREEHOLDBUNGALOW,356,"1,925,000",1 Transaction
"BAIDURISHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,400,"340,000",1 Transaction
